Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2bE8fWx1bA2ljZ9TtqQv1C,Interest,NEXO,0.39695324,NEXO,0.39695324,$0.36,-,-,"approved / NEXO Interest Earned",2026-04-19 05:00:00
NXT4ZKbwnQhGoQ00uMUubZPgU,Interest,xUSD,-0.37000000,xUSD,0.37000000,$0.37,-,-,"approved / Interest",2026-04-19 00:00:00
NXT6w9y8wLbYTkxjOM6i0WuJv,Transfer Out,NEXO,-4901.49243651,NEXO,4901.49243651,$4406.88,-,-,"approved / Transfer from Savings Wallet to Credit Line Wallet",2026-04-18 17:14:15
NXT3kcMOp5FRUqAKaR6mf74Ux,Transfer Out,XRP,-2427.09863800,XRP,2427.09863800,$3468.11,-,-,"approved / Transfer from Savings Wallet to Credit Line Wallet",2026-04-18 17:14:02
NXT7DZsE9nKK6elFecanXVkr0,Exchange,NEXO,-4000.00000000,XRP,2427.09863800,$3469.73,-,-,"approved / Exchange NEXO Token to XRP",2026-04-18 17:13:23
NXT5VGvvt5hmfjtdfKa97DOmN,Transfer In,NEXO,8878.59186624,NEXO,8878.59186624,$8009.40,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2026-04-18 17:12:02
NXT6UW8VUNmwlF1Dwl6HyaE8U,Exchange,USDT,-500.00000000,FLR,59759.22356638,$487.93,-,-,"approved / Exchange Tether to Flare",2026-04-18 16:47:04
NXT78wU4BJk1n6DUGBnBjEPKQ,Exchange Collateral,BTC,-0.00000090,NEXO,0.07419620,$0.07,-,-,"approved / Convert Small Balances / Exchange Bitcoin to NEXO Token",2026-04-18 16:46:31
NXT4yMkaohacKWWd0MV3RPdXZ,Top up Crypto,USDT,500.00000000,USDT,500.00000000,$500.05,-,-,"approved / Credit Granting Top Up",2026-04-18 16:42:18
NXT5MGYyywqhtXfUaDwRQxkmu,Exchange Credit,xUSD,-500.05000000,USDT,500.00000000,$500.05,-,-,"approved / Exchange xUSD to USDT",2026-04-18 16:42:17
NXT3eBgw2ijrCQyA7mLY5HpWK,Loan Withdrawal,xUSD,-500.05000000,xUSD,500.05000000,$500.05,-,-,"approved / USDT Loan Withdrawal",2026-04-18 16:42:17
NXT5KYZMntJJ4dqXppMhKkuTN,Locking Term Deposit,XRP,-1727.94578200,XRP,1727.94578200,$2483.81,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-04-18 16:14:25
NXT5We97ZdW54CfBtqEYaqeIt,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-18 00:00:00
NXT3udxfUVmRGDN6jKk5HsD0H,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-17 00:00:00
NXT7JwFIQxncDd5rL1TUr9z07,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-16 00:00:00
NXT1fWke1y8acm6p2LXV2IsTH,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-15 00:00:00
NXT1Ge3MscIdd5dSnVleNMz8m,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-14 00:00:00
NXT3wGYhNmeo7vNdtvFV3w4jg,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-13 00:00:00
NXT3oSVVuBWmnvRZrcw8BzIwU,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-12 00:00:00
NXT6dMJVLnrvSRo2CqLGttt2n,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-11 00:00:00
NXT7216bBs0HUoPjyQJTYspyk,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-10 00:00:00
NXT5omVE60o5onIqU7ECv1017,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-09 00:00:00
NXT7PZMl4AWRE8qe83kmHKg1y,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-08 00:00:00
NXT1zwOSbZQBmCSo10lJezeXt,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-07 00:00:00
NXT1OoTmTotv0xrk73thIXwC0,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-06 00:00:00
NXTa0l7YHf6ybV08beBMwkkz,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-05 00:00:00
NXT3zOGU8jogNh2TMDRXczJAJ,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-04 00:00:00
NXT6nYSimNscNrukocsKhvnU0,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-03 00:00:00
NXT5W1nxvTLmkmv5s1IyV9guH,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-02 00:00:00
NXT1VJCFz5L2jiSuRYmtcEDM2,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-04-01 00:00:00
NXTXSYKL1xCGrEgJNXBNiXcY,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-31 00:00:00
NXT1Oyfyc7Hf7ujFumtIcB2LR,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-30 00:00:00
NXTZRDyWn43MHpkdeQa5gq1A,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-29 00:00:00
NXTMO9RFw5QTKucdZjgon5oZ,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-28 00:00:00
NXT2cLIJLkJiMcVHtoYTkgBRj,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-27 00:00:00
NXT35RWxVs2Se0ix2kmwWwVEx,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-26 00:00:00
NXT7BUTngbdQlu25kfaInkaIN,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-25 00:00:00
NXT5cc0ITS3K1xbSAQbPzbOwj,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-24 00:00:00
NXT4JhBMT7wwdd02EtmXOKWsP,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-23 00:00:00
NXT3D0abgTll9FYjgBIImTZ7f,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-22 00:00:00
NXTNuBlQsWzDowqdbt25i05i,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-21 00:00:00
NXT1wUL05twX23mAJ3DmfwMyM,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-20 00:00:00
NXTdjyWpwUXBbWLLROrM50bM,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-19 00:00:00
NXT2zzuzp7dB90XsngiRIF4PR,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-18 00:00:00
NXT1O4FY4GsDniZa6KWAtRnUg,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-17 00:00:00
NXTpCq5dSADDSD3DJVgAvdVV,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-16 00:00:00
NXT4k3gtTI98ZRfj8BNuF3O7c,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-15 00:00:00
NXT7L7SUP4hsWQMlLkXm7IpMs,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-14 00:00:00
NXTh1LOkFOmjRQ675CHwweaV,Interest,xUSD,-0.34000000,xUSD,0.34000000,$0.34,-,-,"approved / Interest",2026-03-13 00:00:00
