Contributor,Date,Net Amount,Gross Amount
Employer payments,10/10/2025,40.78,40.78
Employer payments,12/09/2025,45.46,45.46
Employer payments,13/08/2025,74.17,74.17
Employer payments,10/07/2025,83.13,83.13
Employer payments,10/06/2025,330.37,330.37
Employer payments,14/05/2025,330.37,330.37
Employer payments,10/04/2025,329.34,329.34
Employer payments,12/03/2025,329.34,329.34
Employer payments,07/02/2025,329.34,329.34
Employer payments,13/01/2025,322.87,322.87
Employer payments,11/12/2024,322.87,322.87
Employer payments,12/11/2024,322.87,322.87
Employer payments,10/10/2024,322.87,322.87
Employer payments,12/09/2024,322.87,322.87
Employer payments,07/08/2024,322.87,322.87
Employer payments,10/07/2024,322.87,322.87
Employer payments,10/06/2024,322.87,322.87
Employer payments,17/05/2024,322.87,322.87
Employer payments,04/04/2024,322.87,322.87
Employer payments,13/03/2024,322.87,322.87
Employer payments,14/02/2024,322.87,322.87
Employer payments,15/01/2024,304.37,304.37
Employer payments,12/12/2023,304.37,304.37
Employer payments,14/11/2023,304.37,304.37
Employer payments,19/10/2023,304.37,304.37
Employer payments,13/09/2023,304.37,304.37
Employer payments,09/08/2023,304.37,304.37
Employer payments,07/07/2023,304.37,304.37
Employer payments,09/06/2023,304.37,304.37
Employer payments,11/05/2023,304.37,304.37
Employer payments,05/04/2023,304.37,304.37
Employer payments,09/03/2023,304.37,304.37
Employer payments,07/02/2023,304.37,304.37
Employer payments,10/01/2023,304.37,304.37
Employer payments,06/12/2022,304.37,304.37
Employer payments,03/11/2022,231.90,231.90
